scope,t,measurement,prob.mean,prob.sigma,condition,prob.type

start_,0,-1.064255568,pJAK2_au,sd_JAK2Epo_au,task8_1,normal
ode_,10,-0.349156063,pJAK2_au,sd_JAK2Epo_au,task8_1,normal
ode_,60,-1.217483944,pJAK2_au,sd_JAK2Epo_au,task8_1,normal
ode_,120,-1.355995488,pJAK2_au,sd_JAK2Epo_au,task8_1,normal

start_,0,-1.198933405,pEpoR_au,sd_JAK2Epo_au,task8_1,normal
ode_,10,-0.046952719,pEpoR_au,sd_JAK2Epo_au,task8_1,normal
ode_,60,-0.860721828,pEpoR_au,sd_JAK2Epo_au,task8_1,normal
ode_,120,-0.905243772,pEpoR_au,sd_JAK2Epo_au,task8_1,normal

start_,0,-1.158488851,CIS_au,sd_CIS_au,task8_1,normal
ode_,10,-1.106515654,CIS_au,sd_CIS_au,task8_1,normal
ode_,60,-1.102581193,CIS_au,sd_CIS_au,task8_1,normal
ode_,120,-1.247369622,CIS_au,sd_CIS_au,task8_1,normal

start_,0,0,SOCS3_au,sd_SOCS3_au,task8_1,normal
ode_,10,-0.052298635,SOCS3_au,sd_SOCS3_au,task8_1,normal
ode_,60,-0.095712559,SOCS3_au,sd_SOCS3_au,task8_1,normal
ode_,120,-0.168312642,SOCS3_au,sd_SOCS3_au,task8_1,normal

start_,0,-1.831439102,pSTAT5_au,sd_pSTAT5_au,task8_1,normal
ode_,10,-1.548964314,pSTAT5_au,sd_pSTAT5_au,task8_1,normal
ode_,60,-2.129323214,pSTAT5_au,sd_pSTAT5_au,task8_1,normal
ode_,120,-2.793210414,pSTAT5_au,sd_pSTAT5_au,task8_1,normal
