scope,t,measurement,parameters.mean,parameters.sigma,condition,distribution

start_,0,-1.714827047,pJAK2_au,sd_JAK2EpoR_au,task9_0,normal
ode_,5,0,pJAK2_au,sd_JAK2EpoR_au,task9_0,normal
ode_,10,-0.003545281,pJAK2_au,sd_JAK2EpoR_au,task9_0,normal
ode_,30,-0.289875752,pJAK2_au,sd_JAK2EpoR_au,task9_0,normal
ode_,60,-0.513563761,pJAK2_au,sd_JAK2EpoR_au,task9_0,normal

start_,0,-1.453189996,pEpoR_au,sd_JAK2EpoR_au,task9_0,normal
ode_,5,0,pEpoR_au,sd_JAK2EpoR_au,task9_0,normal
ode_,10,-0.286306739,pEpoR_au,sd_JAK2EpoR_au,task9_0,normal
ode_,30,-0.497936323,pEpoR_au,sd_JAK2EpoR_au,task9_0,normal
ode_,60,-0.841370167,pEpoR_au,sd_JAK2EpoR_au,task9_0,normal

start_,0,-1.143914739,CIS_au,sd_CIS_au,task9_0,normal
ode_,5,-1.205599453,CIS_au,sd_CIS_au,task9_0,normal
ode_,10,-1.137496837,CIS_au,sd_CIS_au,task9_0,normal
ode_,30,-0.872147921,CIS_au,sd_CIS_au,task9_0,normal
ode_,60,0,CIS_au,sd_CIS_au,task9_0,normal

start_,0,-0.305069973,tSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,5,-0.234083206,tSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,10,-0.225212783,tSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,30,-0.238935709,tSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,60,-0.370665924,tSTAT5_au,sd_STAT5_au,task9_0,normal

start_,0,-1.213239871,pSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,5,-0.118765919,pSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,10,0,pSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,30,-0.323446644,pSTAT5_au,sd_STAT5_au,task9_0,normal
ode_,60,-0.465553405,pSTAT5_au,sd_STAT5_au,task9_0,normal

start_,0,-0.778987236,tSHP1_au,sd_SHP1_au,task9_0,normal
ode_,5,-0.735999972,tSHP1_au,sd_SHP1_au,task9_0,normal
ode_,10,-0.54427689,tSHP1_au,sd_SHP1_au,task9_0,normal
ode_,30,-0.521489002,tSHP1_au,sd_SHP1_au,task9_0,normal
ode_,60,-0.694814045,tSHP1_au,sd_SHP1_au,task9_0,normal
